Hanan Runasimi,English,Ima simi,Español,Qusqu,Qosqo,Aymara
qala,every,adj.,todo,,,
qala,city dweller; dude,adj.,citadino,,,
qala,kind of parrot,s.(zoo),una variedad de loro,,,
qalalu,"plant used to dye blue, hierba santa ",s.(bot),hierba santa; ccalalo; planta usada para teñir de azul,,,
qalankata,kind of small parrot,s.(zoo),cotorra,,,
qalaphari,food baked by means of a hot stone,s.,alimento cocido con ayuda de una piedra caldeada,,,
qalaphurka,food baked by means of a hot stone,s.,alimento cocido con ayuda de una piedra caldeada,,,
qalaq,depressed,s.a.,deprimido; débil,,,
qalwinchu,plant with yellow flowers used by the women of Inkawasi to dye yellow,s.(bot),planta de flores amarillas usada por las mujeres de Inkawasi para teñir de amarillo,,,
qalla,wheel; round plate; paving-stone (round),s.,rueda; volante; disco; pieza circular; adoquín (circular); rebanada; tajada,qalla,qalla,
qalla,cheek,s.(ana),mejilla,,,quyllu
qalla,distaff; spindle,s.(tex),rueca,,,
qallana,beginning,s.,principio,,,
qallananchikmanta,from the beginning,adv.t.,desde el principio,,,
qallaqchi,harvest rests in the stubble field,s.,resto de cosecha que queda en los rastrojos,,,
qallaqchiy,to recollect rests of the harvest,v.tr.,rejuntar restos de cosecha entre los rastrojos,,,
qallari,initial,adj.,inicial,,,
qallari,origin; beginning,s.,origen; comienzo; inicio; principio,,,
qallarichiy,to make begin,v.tr.,hacer empezar; establecer,,,
qallarikuq,beginner; amateur,s.a.,principiante,,,
qallarikuy,enterprise; firm,s.(ass),empresa,,,
qallari llaqtaykuq,first inhabitants,s.,primeros pobladores,,,
qallarimuy,to go to begin,v.tr.,ir a empezar,,,
qallarina,beginning,s.,comienzo; principio,,,
qallarinancha,dominion,s.,dominio,,,
qallari pacha,time of beginning,s.,tiempo del comienzo,,,
qallaripuy,to begin something for someone,v.tr.,empezárselo,,,
qallariq,initiator,adj.,el que empieza; iniciador; principiante,qallariq,qallariq,
qallariq machu,progenitor,s.,cabeza de linaje; maestro; cepa del linaje,qallariqmachu,qallariqmachu,
qallari rimaykuna,preamble,s.,preámbulo,,,
qallarisqa,begun; started,p.p.p.,empezado; comenzado,qallarisqa,qallarisqa,
qallarisun,let's begin,expr.,empezamos,,,
qallariy,beginning; origin,s.,principio; inicio; comienzo; empiezo; origen; iniciación,,,qallta; uñsta
qallariy,presentation,s.(ass),presentación,,,
qallariy,to begin; to start,v.tr.,comenzar; empezar; principiar; dar principio; iniciar; empezar; principiar; emprender; estrenar,qallariy,qallariy,qalltaña
qallariymanta,from the beginning,adv.t.,desde el principio,,,
qallariynin,beginning; introduction,s.pr.,inicio; inicio; introducción; principio,qallariynin,qallariynin,qallta; qallta; qalltawi
qallariyniyuq,whose beginning is known,adj.,el que tiene principio conocido,,,
qallariy simi,introduction,s.,introducción,qallariy simi,qallariy simi,
qallariy yachachiy,initial education,s.,educación inicial,,,qallta yatichawi
qallariy yachaqay,beginners' level,s.(edu),nivel inicial,,,qallta yatiqawi
qallariy yachay,basic education,s.,educación básica,,,
qallariy yuyay,introduction,s.,introducción (pensamiento),,,
qallarma,original,adj.,original,,,
qallawa,element,s.,elemento,,,
qallay,to begin; to start,v.tr.,empezar; comenzar; principiar,,,khartaña
qallaykuna,beginning,s.,inicio,,,
qallaykuy,to initiatiate; to transmit,v.tr.,iniciar; principiar,,,
qallaykuynin,beginning,s.,inicio; principio,,,
qallcha,mown cereal heaped up with ist stalks,s.(agr),mies segada y hacinada con los tallos puestos de pie,,,
qallchachiq,who make mow cereal,s.,el que hace segar,,,
qallchapuy,to mow cereal for someone,v.tr.,segárselo,,,
qallchasqa,mowed cereal,p.p.p.,cereal segado,,,
qallchay,to mow cereal,v.tr.,segar; hacinar la mies; formar gavillas erguidas,,,
qallchaypacha,cereal mowing season,s.,tiempo de segar,,,
qallma,small twig,s.,ramilla o rama pequeña de una planta,,,
qallmachay,to develop young shoots,v.intr.,cubrirse de renuevos la planta,,,
qallman simi,plain; simple,adj.,sencillo,qallman simi,qallman simi,
qallpa,field after harvest or mowing,s.(agr),terreno que queda después de la ciega o de la cosecha; barbecho,,,
qallpachakra,"leached-out land, which needs fallow",s.(agr),tierra agotada que ya no produce bien y necesita descanso,,,
qallpay,to lie fallow,v.intr.(agr),descansar (tierra),,,
qallu,tongue,s.(ana),lengua; lengua; órgano del aparato del gusto,qallu,qallu,laxra
qallukipu,tongue twister,s.,trabalengua,,,
qallupayay,to stick one's tongue out at somebody,v.tr.,sacar la lengua,,,
qallu-qallu,slug,s.(zoo)(1),babosa; limaz,,,
qallu-qallu,leech,s.(zoo)(2),"callu-callu; sanguijuela; sanguijuela que abunda en las cochas, se pega fuertemente en la piel y extrae la sangre",,,
qallusapa,braggart,s.p.,hablador; charlatán; lenguacha,,,
qallu sik'iyta,withdrawn tongue,expr.,con la lengua retirada,,,
qallu taka,slug,s.(zoo),babosa; limaz,qallu taka,qallu taka,
qalluwatariy,tongue twister,s.,trabalengua,,,
qalluyuq,who has a tongue,s.p.,el que tiene lengua,,,
qallwa,engine; machine; class of machines,s.,máquina,,,makina
qallwachiy,to make press together the threads in the tissue,v.tr.,hacer tupir,,,
qallwamuy,to go to press together the threads in the tissue,v.tr.,ir a tupir,,,
qallwana,instrument of wood or bone used by the weavers to press the threads of a tissue together,s.,instrumento de madera o de hueso que usan los tejedores para tupir los hilos del tejido,,,
qallwapuy,to press together the threads in the tissue for somebody else,v.tr.,tupírselo,,,
qallwaraq,who presses together the threads in the tissue,adj.,tupidor de los tejidos; el que tupe,,,
qallwarasqa,pressed together (threads in a tissue); compressed (tissue),p.p.p.,tupido,,,
qallway,to press together the threads in the tissue,v.tr.,tupir los hilos en el tejido,,,
qallwiya,mechanics,s.(fis),mecánica,,,
qam,you; you (singular); thou (you sg.),pron.pers.,tú; vos; usted; usted o tú; tu,qan,qan,juma
qama,bland,adj.(1),cortés; adulador,qama,qama,
qama,insipid; tasteless,adj.(2),insípido; desabrido; soso,,,
qamamamaq,turning green again,adj.,reverdeciente,,,
qamamamay,to turn green again,v.intr.,reverdecer,,,
qamasayri,wild tobacco,s.(bot),tabaco cimarrón,qhamasayri,qhamasayri,
qamay,to overexert; to overstrain,v.intr.,pujar,,,
qamayay,to lose taste,v.intr.,volverse insípido,,,
qamchu,court jester; jester at the side of the Inka for amusement and thanking,s.(his),bufón; payaso; truhán que vivía al lado del propio Inca para hacer reír y decir gracias,qamchu,qamchu,
qamiri,dealer; salesman; seller,s.,comerciante,,,
qamiy,to trade,v.tr.,traficar,,,
qamiyman hina,commercially,adv.m.,comercialmente,,,
qamkuna,"you (plural); you (plural, informal); you (pl.); you all",pron.pers.,vosotros; vosotras; ustedes,qankuna,qankuna,
qamkunap,your (plural); yours (plural),pron.pos.,vuestro; vuestra,qankunaq,qankunaq,
qamkuna ruraq hina (ruranhina),like you all do,expr.,como dicen ustedes,,,
qamllarquy,to consternate; to amaze,v.tr.,asombrar,,,ch'iwichaña
qam llullaypas ñuqam ari amataq,"Just tell your lies, I won't",s.a.,"Di tu mentira si quieres, empero yo no",qan llullaypas ñuqan ari amataq,qan llullaypas ñoqan ari amataq,
qamñataq,and now you,expr.,y ahora tu,qanñataq,qanñataq,
qampa,your; yours,pron.pos.,tuyo; tuya; tu,qanpa,qanpa,
qampaq,for you,expr.,para tí,,,jumanki
qampaq ñawpapi,in front of you,expr.,delante de tí,,,
Qampaqpas!,The same to you!,expr.,¡Asimismo!; ¡Igualmente!,Qampaqpas!,Qampaqpas!,
qampaq punta (ñawpa),before you; in front of you,expr.,delante de tí,,,
qampas,you too,expr.,tú también,,,
Qampas hinallataq!,The same to you!,expr.,¡Asimismo!; ¡Igualmente!,Qampas hinallataq!,Qampas hinallataq!,
qampucha,short needle (7 cm),s.(tex),aguja corta (7 cm),,,
qampuru,fruit of potato plant,s.(bot),frutecencia de la flor de papa,,,
qamri,and you?,expr.,y tu?,qanri,qanri,
qam rurasqa hinallataq,like you have done,expr.,como has hecho,,,
qamuchuy,to make edit,v.tr.,hacer redactar,,,
qamwan,with you,pron.pers.,contigo,,,
qam wiña,your age,s.,tu edad,,,
qamya,insipid; tasteless; dull,adj.,insípido; soso,,,
Qanchi,ancient people and province in the Department of Qosqo (Peru); (Span.) Canchis,s.(top)(<?),pueblo antiguo y provincia en el departamento del Qosqo (Perú); (esp.) Canchis,Qanchi,Qanchi,
qanchis,seven,num.c.,siete; el número 7,qanchis,qanchis,paqallqu; paqalqu
qanchischaw,week,s.(tmp),semana,,,simana
qanchischay,to multiply with seven,v.tr.,multiplicar con siete; septuplicar,,,
qanchis chiru,heptagon,s.,heptágono,,,paqallqu ajanu
qanchis chirup,heptagonal,adj.poses.,heptagonal,,,
qanchis chiruyuq rikch'ayni,heptagonal,adj.,heptagonal,,,
qanchis chunka,seventy,num.c.,setenta,,,päqallqu tunka
qanchis chunka hukniyuq,seventy-one,num.c.,setenta y uno,,,
qanchis chunka iskayniyuq,seventy-two,num.c.,setenta y dos,,,
qanchis chunka qanchisniyuq,seventy-seven,num.c.,setenta y siete,,,
qanchis chunka waranqa,seventy thousand,num.c.,setenta mil,,,
qanchis ch'iqta,seventh,num.fract.,séptimo,,,
qanchis kaq,seventh,num.o.,séptimo,,,
qanchis k'uchu,heptagon,s.,heptágono,,,
qanchis laya,"Seven Wise (plant of the jalca region whose flowers serve to illuminate the mind. Who takes ""Seven Wise"" gets knowledge of seven wise people. Very popular among chamanes)",s.(bot),siete sabios (planta de zona jalca cuyas flores sirven para iluminar la mente. Quien toma siete sabios adquiere el conocimiento de siete sabios. Es muy buscado por los chamanes),,,
qanchis mitruta yallispam; qanchis mitru yalli,more than seven meters,expr.,más de siete metros,,,
qanchis ñawi,the seven levels of the Inkas' holy spiritual path,s.(spi),Los siete niveles del camino sagrado de los Inkas,qanchis ñawi,qanchis ñawi,
qanchis ñiqin,seventh,num.o.,séptimo; siete,qanchis ñiqin,qanchis ñeqen,päqallquri
qanchis ñiqin yachakuna,Lesson Seven,expr.,Lección Siete,,,
qanchis pachak,seven hundred,num.c.,setecientos,,,päqallqu pataka
qanchis pachak waranqa,seven hundred thousand,num.c.,setecientos mil,,,
qanchis patma,seventh,num.fract.,séptimo,,,
qanchispa wasan,seventh,num.o.,séptimo,,,
qanchis p'unchaw,week,s.(uni),semana,,,
"qanchis p'unchawpi kutimuq, hamuq",weekly,adj.,semanal,,,
qanchis p'unchaw unaq,week,s.(tmp),semana,,,
qanchis uyayuq p'unlu,heptaeder,s.(mat),heptaedro,,,
qanchis waranqa,seven thousand,num.c.,siete mil,,,päqallqu waranqa
qanchu,empty,adj.,vacío,,,
qanqa,heat of fire,s.,calor de la lumbre,,,
qantu,"a bush having red or yellow flowers that are considered as the Peruvian national flowers; kantu (kind of wild plant, an illa of oca)",s.(bot),"cántua; un arbusto de flores rojas o amarillas; flor sagrada de los incas; declarada flor nacional boliviana; cantuta (planta de la puna, de flores rojas, remedio para el mal viento. Flor heráldica del Perú); cantuta; cantu (especie de planta, una illa de la oca)",qantu; q'antu; qantuta,qantu; q'antu; qantuta,
qañañana,wail,s.,aullido de dolor,,,
qañawa,cereal from the Chenopodiaceae family,s.(bot),cañahua; un cereal de las quenopodiáceas,qañiwa,qañiwa,
qañiy qillqa,poster,s.(neo),cartel,,,qillqa saywa
qap!,crack!; [cracking sound of wood or fruit in a cod],interj.onom.(1),¡trac!; [sonido de maderas o frutos en vaina al romperse o reventarse],,,
qap!,[sound of drinking water],interj.onom.(2),[sonido de tomar agua],,,
qapa,scented,adj.,perfumado,,,
qapanna,profanation; desecration,s.,profanación; profano,,,
qapannay,to desecrate,v.tr.,profanar,,,
qapapayachiy,to stress,v.,recalcar,,,
qapaq,fragrant; scented,adj.,fragante; perfumado,,,
qapar,taste,s.,gusto; sabor,,,
qapari,cry of joy,s.,grito de júbilo; grito,,,
qaparichiq,who makes scream,s.,el que hace gritar; aparato fonador,,,
qaparichiy,to make scream,v.tr.,hacer gritar,,,
qaparikuy,to scream; to call for help,v.dic.,gritar; pedir auxilio; gritar implorando,,,
qaparilu,mythical being,s.(mit),personaje mítico,,,
qaparimpuy,to go to call for someone,v.tr.,ir a gritárselo,,,
qaparina,windpipe; trachea,s.(ana),tráquea,,,
qaparipuy,to call for someone,v.tr.,gritárselo,,,
qapariq,screamer,adj.,el que grita,,,
qapariq,interjection,s.(gra),interjección,qapariq,qapariq,
qaparisqa,called,p.p.p.,gritado,,,
qapariy,call; cry; scream; yell; shreak; shout,s.,grito; alarido; bramido,qapariy,qapariy,
qapariy,to call; to cry; to shout; to scream; to bark; to sing (bird); to shout; to yell; to roar; to scream; to shout,v.dic.,gritar; vocear; vociferar; bramar; llamar; ladrar; cantar (pájaro); gritar; llamar a voces; gritar sin palabras,qapariy,qapariy,arch'ukiña; art'aña; warariña; aru-aptaña
qapcha huchha,digit,s.,cifra,,,
qapchapi qillqasqata watuy,to decipher,v.tr.,descifrar,,,
qapchata paskay,to decipher,v.tr.,descifrar,,,
qapñu,dented; bumpy; battered,adj.,abollado,,,
qapra,blind,adj.,ciego,,,
qapra,fragile,adj.(2),frágil; quebradizo,,,
qaprayay,to lose the sight; to become blind,v.intr.,tornarse ciego,,,
qapru,plastic container,s.,envase de plástico,,,
qapsan,lung,s.,pulmón,,,
qaptakuy,to collect in handful portions,v.tr.,recoger en puñados,,,
qapuy,to tear down,v.tr.,derribar,,,
qapya,soft,adj.,suave,qapya,qapya,
qapya,sweet-filled maize fritter,s.(1),alfajor de harina de maíz relleno con dulce (valles calchaquíes),,,
qapya,white cornmeal,s.(2),harina blanca de maíz,,,
qapya,sort of white tender corn; kind of white tender maize,s.(3),una variedad de maíz blanco y tierno,,,
qaqa,hard; filled completely with people,adj.,duro; sólido,qaqa,qaqa,
qaqa,rock; pass; cliff; mountain; chasm; abyss,s.(geo),roca; peña; paso; abra; abismo; quebrada; cerro; precipicio; peñasco; barranco; abismo; roca grande,qaqa,qaqa,qarqa; qullu; sirka
Qaqachaqa,village in Oruro Department (Bolivia),s.(top),pueblo de Oruro (Bolivia),,,
Qaqapampa,"city and province in the department of Cajamarca (Peru), today exclusively Spanish-speaking; (Span.) Cajabamba (<meaning unclear - Qaqapampa, plain of rocks or thunder - or Qasapampa, cold plain - or Kashapampa, plain of thorns)",s.(top),"ciudad y provincia en el departamento de Cajamarca (Perú), hoy en día exclusivamente castellanohablante; (esp.) Cajabamba (<significado no claro - Qaqapampa, llanura de rocas o de trueno - o Qasapampa, llanura fría - o Kashapampa, llanura de espinas)",,,
qaqa pana,cliff; abyss,s.,abismo; despeñadero; precipicio; barranco,qaqapana,qaqapana,
qaqa pata,top of the rock,s.,el borde o plano superior de la roca,,,
qaqapay,to throw down,v.tr.,despeñar,qaqapay,qaqapay,
qaqa-qaqa,boulder,s.,roquedad; peñasco; roquedal; peñascal,qaqa qaqa,qaqa qaqa,
qaqaqaqan,thunder,s.(onom),trueno,qaqaqaqan,qaqaqaqan,
qaqa rara,boulder,s.,roquedad; peñasco,,,
qaqi,kind of bird,s.(zoo),bandurria; especie de ave de vientro negro y de cabeza y cuello ocráceo,qaqi,qaqe,
qaqinqura,kind of bird that lives in the valleys and in the East,s.(zoo),especie de ave que vive en el valle y oriente; ave bandurria de plumaje blanco-anaranjado y ceniciento más grande que la perdiz,,,
qaqlla,face; cheek,s.(ana),cara; vista; mejilla; carrillo,qaqlli,qaqlli,ajanu; aqanu; inñaqa; uñnaqa
qaqti,bitter,adj.,amargo,qaqti,qaqti,
qara,skin; leather; bark; peel; bark (tree); hide; bark; skin; hide; pelt,s.(ana),cuero; piel; pellejo; cáscara; corteza; cáscara y envoltura; descubierto; pelado; cutis,qara,qara,lip'ichi; janchi; janchi lip'ichi
qara,"agave (a very useful plant, its stem is used for wood or as tube, its leaves for fibres, its fruits are eaten, its sap is used for liquor, its trunk as seat)",s.(bot),"magüey, penca común (una planta muy útil, el palo sirve como madera y canal, sus hojas dan la fibra, sus frutos sirven para hacer manjar, su savia para licor, su tronco para asiento); penca",,,
qaracha,bark of a tree,s.(bot.ana),corteza de árbol; cáscara,,,
qaracha,scabies; itch; scab,s.(med),sarna; tiña; costra; roña; enfermedad del ganado lanar; postilla,qaracha,qaracha,
qaracha,"mange of plants, a general term describing scab-like symptoms, general symptom label for any condition with dry or leathery scales or scabs on plants, including fruit (hosts: peaches, figs, others)",s.(phymed),"sarna de planta, término general para describir síntomas parecidos a la sarna humana, síntoma general para cualquier condición con escamas secas o cuerudas o con costras en plantas, incluso en sus frutos (hospederos: durazneros, higueras y otros)",,,
qaracha lliqti,crust; scurf that encloses the feet; scabies; itch; scab,s.(med),costra; apostilla que cierra los pies,,,
qarachay,to get scabies,v.intr.,hacerse costra; hacerse sarna,,,
qarachay,to wrap with skin; to fill with skin,v.tr.,encorar; forrar con cuero algo,,,
qarachayuq,scabious,s.p.,sarnoso,,,
qarachi,agave,s.(bot),cabuyo,,,
qarachi,fibre; fiber,s.(tex),fibra,,,
qarachiykuy,to scab,v.intr.,hacerse costra; hacerse sarna,,,
qaraku,Andean ritual which consists of offering animal blood to Pachamama,s.,ritual andino que consiste en ofrendar a la Pachamama con saumerio o sangre de los animales,,,
qarakuq,who helps oneself taking food,adj.,el que se sirve comida,,,
qarakuy,to serve oneself,v.tr.,servirse,,,
qaralla,naked; nude,adj.,desnudo,,,
qarallama,smooth tissue; atlas (tissue),s.(tex),raso,qarallama,qarallama,
qara llip'iyaq p'acha,smooth tissue; atlas (tissue),s.(tex),raso,qara llip'iyaq p'acha,qara llip'iyaq p'acha,
qara lluch'usqa,skinned,p.p.p.,despellejado,,,
qara lluch'uy,to skin an animal,v.tr.,despojar o quitar el cuero; despellejar,,,
qaramaki,glove,s.(tex),guante,,,ampara ñuku
Qarampa,Pleiades,s.(ast),Pléyades,,,Chixi
qaramuy,to go to deal out,v.tr.,ir a dar de comer; ir a servir comida,,,
qaran,skin; bark; peel; hide,s.pr.,cáscara; corteza,,,quqa sillp'i
qarana,present,s.,regalo; lo que se da de comer; lo que se sirve,,,
qaranakuy,to share food,v.recip.,compartir comida,,,ququsiña; warxata. apthapi
qaranam kanchik,we have to give something,expr.,tenemos que regalar debemos...,,,
qaranchay,to line,v.,forrar,,,
qaranchu,southern caracara,s.(zoo),carancho,,,
qarantin papa,potatoes with peel,s.,papas con cáscara,,,
qarapa,bark; peel; skin; shell; clothing,s.,corteza; panca; cuero; vestido; cutícula; epidermis,,,
qarapachu,carapace; armor; armour; shell,s.,caparazón,,,
qarapanchik,we offer; we give,expr.,ofrecemos; damos; regalamos,,,
qarapanki,you will give it to him/her,expr.,regalarásle; darásle,,,
qarapatakuy,to undress; to put off one's clothes,v.intr.,desvestirse,,,
qarapatay,to strip; to undress,v.tr.,desnudar; desvestir,,,
qarapati,scurf; dandruff,s.(med),caspa,qarapati,qarapati,
qarapi qillqasqa,parchment,s.,pergamino,,,
qara p'acha,leather clothing,s.,chamarra o vestimenta de cuero,,,
qara p'aspa,dandruff,s.(med),caspa,,,
qaraq,who deals out; waiter,adj.,el que sirve comida; camarero,,,
qara qillqa,parchment; writing in the skin,s.,pergamino; escritura en el cuero,,,
qaraqruyuwa,crustacean,s.(zoo),crustáceos,,,
Qararay!,To hell with him!,interj.,¡Al diablo con él!,,,
qara simi,"dry, chapped lips",s.,labios secos y agrietados,,,
qara sip'u,wrinkel of the skin,s.(med),arruga de la piel,,,
qaraspa chariy,to maintain,v.tr.,mantener,,,
qarati,dandruff,s.,caspa,qarati,qarati,
qaratu,native tree with large leaves,s.(bot),árbol aborigen de hojas largas,qaratu,qaratu,
qara waska,leather rope,s.(tex),soga de cuero,qara waska,qara waska,
qaraway,give me to eat,expr.,dame de comer,,,
qara wayaqa,leather bag,s.,bolsa de cuero; zurrón,,,
qaray,"early morning, pre-breakfast work period, used especially during the broad bean harvest in May",s.,"madrugada; tiempo de trabajo antes del desayuno, especialmente durante la cosecha de habas en mayo",qaray,qaray,
qaray,to deal out; to dish out; to distribute; to feed; to give; to give a present; to serve food; to share; to serve,v.tr.,distribuir; repartir; hacer plato; dar de comer; dar; regalar; servir; servir comida de la olla; dar de comer a los animales; servir los alimentos; alimentar; dar de comer; servir comida; dar de comer a; servir (comida); ofrendar; ofrecer; dar; regalar,qaray,qaray,
qarayapuy,to develop skin,v.intr.,nacer el pellejo,qarayapuy,qarayapuy,
qarayay,to become unchaste,v.intr.,volverse incasto; volverse persona sin vergüenza,,,
qarayay,to heal (wound),v.intr.(med),cerrarse la herida y cubrirse de epidermis; volverse cuero,,,
qaraypuka,iguana,s.(zoo),iguana,,,
qaraywa,lizard,s.(zoo),lagarto; lagartija,qaraywa; qalaywa,qaraywa; qalaywa,
qariy,to uncover,v.tr.,destapar (las cobijas); destapar; descubrir; destapar,,,
qarmin,shoulder-blade; scapula,s.(ana),omóplato; escápula; paletilla,qarmin; qharmin,qarmin; qharmin,qhalamachi; qhara
qarpachiy,to make irrigate,v.tr.,hacer regar,,,
qarpamuy,to go to irrigate,v.tr.,ir a regar; irrigar,,,
qarpana,irrigation ditch,s.,regadera; regadora,qarpana,qarpana,
Qarpana,Instrument to dig irrigation ditches (constellation),s.(ast),constelación del instrumento para aperturar el riego agrícola,,,
qarpapuy,to irrigate something for someone,v.tr.,regárselo,,,
qarpaq,irrigater,adj.,el que riega; regador; peón que deja entrar el agua en las acequias,,,
qarparkachay,to call; to cry; to shout; to scream,v.dic.,gritar,,,
qarpasqa,irrigated,p.p.p.,regado,qarpasqa,qarpasqa,ch'axchhuta
qarpay,ritual bath,s.,baño ritual,qarpay,qarpay,
qarpay,to irrigate,v.tr.,regar; irrigar,qarpay,qarpay,
qarpaysiy,to help to irrigate,v.tr.,ayudar a regar,,,
qarpuy,to press downwards,v.tr.,empujar hacia abajo,,,
qarqacha,incest,s.,incesto,,,
qarqacha,demon of incest,s.(mit),demonio del incesto,,,
qarqanchu,type of big scavenger bird,s.(zoo),especie de ave alimoche grande,,,
qarqupuy,to throw something for someone,v.tr.,botárselo,,,
qarquy,to throw; to throw out; to vacate; to evacuate; to cast out; to throw out; to dismiss; to sack; to fire (a worker),v.tr.,echar; echar afuera; quitar; despedir; arrear; arrojar; expulsar; desterrar; botar; expulsar; despedir; arrojar; sacar el ganado al campo; excluir; echar o sacar fuera; votar; ahuyentar; botar a los animales; separar; despedir del empleo,qarquy,qarqoy,karkuña
qarwa,golden (color); yellow,adj.(col),color dorado; amarillo; amarillo pálido,qarwa,qarwa,
qarwa,"leaf worm, larva of a beetle",s.(zoo)(1),gusano de hojas; larva de coleóptero,qarwa,qarwa,
qarwa,llama; camel-like animal,s.(zoo)(2),llama; mamífero rumiante de la sierra andina,,,qarwa
qarwachiy,to make ripen (in the sun),v.tr.,hacer madurar (al sol); solear,,,
qarwa killa,august,s.(mes),agosto,,,
qarwakincha,"calluakincha (spiny plant of the quechua region with yellow stalks and black, sour fruits used for ink)",s.(bot),"calluaquincha (planta de la región quechua, de tallo amarillo, con espinas, de frutos negros y ácidos que se usan como tinta)",,,
qarwanchay,to make yellow; to make fade,v.tr.,palidecer,,,
qarwaqi killa,August,s.(mes),agosto,,,
qarway,winter,s.,invierno,qarway,qarway,
qarway,"to ripen; to get golden color (plants, happens in the Andes in the dry period)",v.intr.,"madurar; adquirir color dorado (ref. plantas, en los Andes coincide con la época seca); agostarse",,,
qarwayllu,colouring of the sky at dawn or dusk,s.,celaje; coloración del cielo en el alba o en el ocaso,,,
qarwaypiñi,"qarwaypiñi (kind of wild plant, an illa of maize)",s.(bot),"ccarhuaipiñi (especie de planta, una illa del maíz); planta que en Qispillaqta es la estrella del maíz; planta silvestre de flores tubulares de color anaranjado que crece dentro de los maizales y entre los montes de la región quechua de la comunidad de Quispillaqta, Ayacucho (Machaca, 1991). Flores grandes y abundantes del qarwaypiñi son la ""señal de un buen año para el maíz y las flores menudas, ñutu y escasas, indican que el maíz tendrá granos chupados y se perderá",,,
qasa,cold,adj.,frío,qasa,qasa,thaya; qhasa; qhasu; chhili; chhilli
qasa,snowy,adj.(geo),nevado,,,
qasa,frost,s.(met)(1),helada; hielo; frío,qasa; qhasa,qasa; qhasa,
qasa,hoar-frost,s.(met)(2),escarcha,qasa,qasa,
qasa,snow; hail,s.(met)(3),nieve; nevada,,,
Qasamarka,"departmental city in Peru; (Span.) Cajamarca (<cold land - cf. Kashamarka, land of thorns), (hist.) Caxamarca, Caxamalca [x=sh]",s.(top),"ciudad departamental en Perú; (esp.) Cajamarca (<tierra fría - cf. Kashamarka, tierra de espinas), (hist.) Caxamarca, Caxamalca [x=sh]",Qasamarka,Qasamarka,
qasa mit'a,winter,s.,invierno,,,
qasan,another time,adv.,otra vez,,,
qasapa,frost; frost burning the plants and freezing sleeping cattle,s.,helada; frío que quema las plantas y hasta mata a ganado que duerme en la intemperie,,,
qasa pacha,winter,s.(met),invierno,,,
qasa phuyu,major and minor Magellan cloud,s.(ast),nube mayor y menor de Magallanes,qasa phuyu,qasa phuyu,
qasaqaña,"cerraja (yellow-blooming plant of the composite family with white, bitter, sticky sap)",s.(bot),"cerraja (planta de familia de la compuestas, de savia blanca, amarga y pegajosa, de flor amarilla)",,,
qasawi,anaemia,s.(med),anemia,,,thuk'a
qasay,coldness,s.,frío; helada; frío,,,
qasay,to freeze; to be cold; to fall hoar-frost,v.impers.(met)(1),helar; congelar; helear; caer escarcha; caer la helada,qasay,qasay,
qasay,to snow,v.impers.(met)(2),nevar,,,
qasay,to be cold,v.pron.,tener frío,,,
qaschu,thin,adj.,delgado,,,
qasi,free; peaceful; in vain; quiet; vacant; quiet; silent; motionless; an empty habitation; unnecessary; something done in vain or for its own sake; ordinary; unadorned textile; tranquil,adj.,quieto; ocioso; inactivo; libre; pacífico; tranquilo; vano; en vano; envano; ordinario; desocupado,qasi,qasi,qasiki
qasi!,Don't touch!; Stop!,interj.,No toques!; Déja!,,,
qasichiy,to calm,v.tr.,sosegar; desocupar,qasichiy,qasichiy,
qasi kay,peace,s.,paz; quietud; sosiego; inmovilidad; tranquilidad,qasi kay,qasi kay,
qasilla,calm; quiet; still; safe,adj.,quieto; sosegado; tranquilo; seguro,,,
qasilla!,Be silent!; Be quiet!,expr.,¡tranquilo!,,,
qasilla,peace; security,s.,paz; seguridad,,,
qasillakana,calmness,s.,sosiego,,,
qasilla kawsaq,calm,s.a.,pacífico,,,
qasi mana kaq,in vain; without reason,adv.m.,vano; en vano; envano; sin razón,,,
qasimanta,in vain; in vain; vainly,adv.m.,en vano; vano; inútil; vanamente,qasimanta,qasimanta,
qasi p'unchaw,day of rest,adj.,día de descanso,,,
qasiq,peace,s.,paz,,,
qasi runa,at leisure; non-employed; lazy,adj.pers.,"perezoso (personas); sin ocupación; hombre ocioso, sin oficio",qasiruna,qasiruna,
qasi sunqu,calm; cool (person),adj.,hombre inofensivo; reposado,,,
qasi uqu,sponger; parasite; exploiter; hoarder,s.,zángano; gorrón; beneficiario; usufructuario; acaparador,,,
qasi wayta,plain weave,s.(tex),tejido liso,qasi wayta,qasi wayta,
qasiy,to loiter,v.intr.,estar desocupado; tranquilizarse; desocuparse,qasiy,qasiy,
qasiyachiy,to calm,v.tr.,aquietar; sosegar; pacificar,,,
qasiyay,to calm down,v.intr.,sosegarse; depreciar; tranquilizarse,,,
qasmiy,to scratch; to scrape,v.tr.,rasguñar,,,
qaspi,dark,adj.,oscuro,,,
qaspi,night,s.,tiniebla; noche,..tuta,..tuta,
qaspi-qaspilla,early,adv.t.,temprano,,,
qaspiy,darkness,s.,oscuridad,,,
qaspiy,to darken,v.impers.,oscurecer,,,
qasqu tullu,sternum,s.(ana),esternón,,,
qasulina,gasoline,s.(esp),gasolina,,,kasulina
qashay,to pollute,v.tr.(1),contaminar,,,
qashay,to rip from above downward,v.tr.(2),partir(se) de arriba abajo,,,
